"GEOID","GEO.display.label","pop","pop.white","pop.not.white","pct.white","pct.not.white"
20015020201,20015020201,7176,6687,489,0.93185618729097,0.0681438127090301
20015020202,20015020202,8343,7772,571,0.931559391106317,0.0684406088936833
20015020203,20015020203,5784,5440,344,0.940525587828492,0.0594744121715076
20015020300,20015020300,3883,3568,315,0.918877156837497,0.0811228431625032
20015020700,20015020700,4004,3803,201,0.9498001998002,0.0501998001998002
20015020902,20015020902,3840,3667,173,0.954947916666667,0.0450520833333333
20015020903,20015020903,3652,3528,124,0.96604600219058,0.0339539978094195
20035493200,20035493200,3066,2914,152,0.950424005218526,0.0495759947814742
20079030600,20079030600,7256,6969,287,0.960446527012128,0.0395534729878722
20173000100,20173000100,3527,1618,1909,0.458746810320386,0.541253189679614
20173000200,20173000200,3054,2196,858,0.719056974459725,0.280943025540275
20173000300,20173000300,5513,2939,2574,0.53310357337203,0.46689642662797
20173000600,20173000600,2048,251,1797,0.12255859375,0.87744140625
20173000900,20173000900,2728,864,1864,0.316715542521994,0.683284457478006
20173001000,20173001000,3914,1911,2003,0.488247317322432,0.511752682677568
20173001100,20173001100,2116,763,1353,0.360586011342155,0.639413988657845
20173001400,20173001400,3897,3481,416,0.893251218886323,0.106748781113677
20173001500,20173001500,2990,2323,667,0.776923076923077,0.223076923076923
20173001800,20173001800,2243,887,1356,0.395452518947838,0.604547481052162
20173001900,20173001900,2233,1629,604,0.729511867442902,0.270488132557098
20173002000,20173002000,2077,1955,122,0.941261434761675,0.0587385652383245
20173002200,20173002200,2037,1887,150,0.926362297496318,0.0736377025036818
20173002300,20173002300,2053,1694,359,0.82513395031661,0.17486604968339
20173002400,20173002400,1814,1092,722,0.601984564498346,0.398015435501654
20173002600,20173002600,1840,1090,750,0.592391304347826,0.407608695652174
20173002700,20173002700,1686,1354,332,0.803084223013049,0.196915776986951
20173002900,20173002900,2979,2294,685,0.770057066129574,0.229942933870426
20173003200,20173003200,3132,2134,998,0.681353767560664,0.318646232439336
20173003400,20173003400,3157,2220,937,0.703199239784606,0.296800760215394
20173003500,20173003500,2024,1592,432,0.786561264822134,0.213438735177866
20173003700,20173003700,1852,1138,714,0.614470842332613,0.385529157667387
20173003800,20173003800,2778,1881,897,0.677105831533477,0.322894168466523
20173003900,20173003900,4693,3102,1591,0.660984444917963,0.339015555082037
20173004300,20173004300,4436,2826,1610,0.637060414788097,0.362939585211903
20173005100,20173005100,4959,3732,1227,0.752571082879613,0.247428917120387
20173005200,20173005200,4403,3372,1031,0.765841471723825,0.234158528276175
20173005400,20173005400,7258,5798,1460,0.798842656379168,0.201157343620832
20173005501,20173005501,4824,4448,376,0.922056384742952,0.0779436152570481
20173005502,20173005502,5424,5083,341,0.937131268436578,0.0628687315634219
20173005600,20173005600,5019,4262,757,0.849173142060171,0.150826857939829
20173005800,20173005800,4404,2981,1423,0.676884650317893,0.323115349682107
20173006000,20173006000,4691,2787,1904,0.594116393093157,0.405883606906843
20173006100,20173006100,2929,1903,1026,0.649709798566063,0.350290201433937
20173006200,20173006200,3154,2048,1106,0.649334178820545,0.350665821179455
20173006300,20173006300,2134,1577,557,0.738987816307404,0.261012183692596
20173006500,20173006500,4383,2498,1885,0.569929272187999,0.430070727812001
20173006600,20173006600,2698,1845,853,0.683839881393625,0.316160118606375
20173006700,20173006700,2350,1343,1007,0.571489361702128,0.428510638297872
20173006800,20173006800,4102,2077,2025,0.506338371526085,0.493661628473915
20173006900,20173006900,2744,1636,1108,0.596209912536443,0.403790087463557
20173007000,20173007000,3694,1935,1759,0.523822414726584,0.476177585273416
20173007101,20173007101,2229,1403,826,0.629430237774787,0.370569762225213
20173007102,20173007102,5017,3041,1976,0.606139126968308,0.393860873031692
20173007203,20173007203,6400,4025,2375,0.62890625,0.37109375
20173007204,20173007204,7886,4136,3750,0.524473750951053,0.475526249048947
20173007301,20173007301,3762,3284,478,0.872939925571505,0.127060074428495
20173007302,20173007302,3554,3022,532,0.850309510410805,0.149690489589195
20173007500,20173007500,2582,535,2047,0.207203718048025,0.792796281951975
20173007600,20173007600,4067,2743,1324,0.674452913695599,0.325547086304401
20173007700,20173007700,8379,3432,4947,0.409595417114214,0.590404582885786
20173008000,20173008000,5772,5051,721,0.875086625086625,0.124913374913375
20173008100,20173008100,4902,4344,558,0.886168910648715,0.113831089351285
20173008200,20173008200,6401,3720,2681,0.581159193875957,0.418840806124043
20173008300,20173008300,4042,3449,593,0.853290450272142,0.146709549727858
20173008400,20173008400,3249,2660,589,0.818713450292398,0.181286549707602
20173008600,20173008600,3558,3089,469,0.868184373243395,0.131815626756605
20173008900,20173008900,3467,2828,639,0.815690798961638,0.184309201038362
20173009000,20173009000,2921,2392,529,0.818897637795276,0.181102362204724
20173009100,20173009100,6491,4569,1922,0.703897704513942,0.296102295486058
20173009200,20173009200,2855,2428,427,0.850437828371278,0.149562171628722
20173009302,20173009302,5565,4521,1044,0.812398921832884,0.187601078167116
20173009401,20173009401,3882,3589,293,0.924523441524987,0.0754765584750129
20173009503,20173009503,9898,8855,1043,0.894625176803395,0.105374823196605
20173009504,20173009504,4374,3994,380,0.913122999542753,0.0868770004572473
20173009505,20173009505,3128,2897,231,0.926150895140665,0.073849104859335
20173009507,20173009507,5269,4939,330,0.937369519832985,0.0626304801670147
20173009509,20173009509,5601,5202,399,0.928762720942689,0.0712372790573111
20173009510,20173009510,4390,4059,331,0.924601366742597,0.0753986332574031
20173009511,20173009511,7334,6437,897,0.877692937005727,0.122307062994273
20173009512,20173009512,4311,3902,409,0.905126420784041,0.0948735792159592
20173009513,20173009513,4812,4147,665,0.861803823773899,0.138196176226101
20173009603,20173009603,2889,2430,459,0.841121495327103,0.158878504672897
20173009605,20173009605,5153,4733,420,0.918494081117796,0.0815059188822045
20173009801,20173009801,4639,4309,330,0.928863979305885,0.0711360206941151
20173009802,20173009802,7986,7389,597,0.925244177310293,0.074755822689707
20173009900,20173009900,10159,9447,712,0.929914361649769,0.0700856383502313
20173010001,20173010001,4140,3695,445,0.892512077294686,0.107487922705314
20173010002,20173010002,3495,2762,733,0.790271816881259,0.209728183118741
20173010003,20173010003,2224,1407,817,0.632643884892086,0.367356115107914
20173010004,20173010004,5982,5331,651,0.891173520561685,0.108826479438315
20173010005,20173010005,3708,3414,294,0.920711974110032,0.0792880258899676
20173010106,20173010106,2798,2222,576,0.794138670478914,0.205861329521086
20173010107,20173010107,3554,2802,752,0.788407428249859,0.211592571750141
20173010108,20173010108,2350,1993,357,0.848085106382979,0.151914893617021
20173010109,20173010109,2054,1361,693,0.662609542356378,0.337390457643622
20173010110,20173010110,1463,1334,129,0.911825017088175,0.088174982911825
20173010111,20173010111,6962,5625,1337,0.807957483481758,0.192042516518242
20173010113,20173010113,3688,2922,766,0.792299349240781,0.207700650759219
20173010115,20173010115,6996,5693,1303,0.813750714694111,0.186249285305889
20173010116,20173010116,2200,1935,265,0.879545454545455,0.120454545454545
20173010200,20173010200,9329,8736,593,0.936434773287598,0.0635652267124022
20173010300,20173010300,11956,10727,1229,0.897206423553028,0.102793576446972
20173010400,20173010400,2240,2072,168,0.925,0.075
20173010500,20173010500,4130,4029,101,0.975544794188862,0.024455205811138
20173010600,20173010600,3972,3843,129,0.967522658610272,0.0324773413897281
20173010700,20173010700,3246,3137,109,0.966420209488601,0.0335797905113987
20173010801,20173010801,2878,1927,951,0.669562195969423,0.330437804030577
20173010802,20173010802,2366,1589,777,0.671597633136095,0.328402366863905
20191962100,20191962100,5271,5017,254,0.951811800417378,0.0481881995826219
20015020400,20015020400,2559,2335,224,0.912465806955842,0.0875341930441579
20015020500,20015020500,5441,5080,361,0.933651902223856,0.0663480977761441
20015020600,20015020600,7687,7307,380,0.95056589046442,0.0494341095355796
20015020800,20015020800,3114,2879,235,0.924534360950546,0.075465639049454
20015020901,20015020901,4144,3916,228,0.944980694980695,0.055019305019305
20173000400,20173000400,3195,1456,1739,0.455712050078247,0.544287949921753
20173000700,20173000700,3200,310,2890,0.096875,0.903125
20173000800,20173000800,2136,208,1928,0.0973782771535581,0.902621722846442
20173002100,20173002100,3104,2784,320,0.896907216494845,0.103092783505155
20173002800,20173002800,3095,2646,449,0.854927302100162,0.145072697899838
20173003000,20173003000,2276,1729,547,0.759666080843585,0.240333919156415
20173003100,20173003100,2291,1665,626,0.726756874727193,0.273243125272807
20173003600,20173003600,3082,1834,1248,0.595068137573005,0.404931862426995
20173004000,20173004000,4539,3226,1313,0.71072923551443,0.28927076448557
20173005300,20173005300,5772,4607,1165,0.798163548163548,0.201836451836452
20173005700,20173005700,6224,4984,1240,0.800771208226221,0.199228791773779
20173005900,20173005900,4446,3229,1217,0.726270805218174,0.273729194781826
20173006400,20173006400,1732,1244,488,0.71824480369515,0.28175519630485
20173007201,20173007201,4096,3115,981,0.760498046875,0.239501953125
20173007400,20173007400,773,748,25,0.967658473479948,0.0323415265200517
20173007800,20173007800,3184,634,2550,0.199120603015075,0.800879396984925
20173008500,20173008500,2408,2076,332,0.862126245847176,0.137873754152824
20173008700,20173008700,4136,3289,847,0.795212765957447,0.204787234042553
20173008800,20173008800,4705,3834,871,0.814877789585547,0.185122210414453
20173009301,20173009301,5847,4901,946,0.838207627843338,0.161792372156662
20173009402,20173009402,2370,2188,182,0.923206751054852,0.0767932489451477
20173009506,20173009506,4938,4393,545,0.889631429728635,0.110368570271365
